Lamball,https://static.wikia.nocookie.net/palworld/images/4/47/Lamball.png
Cattiva,https://static.wikia.nocookie.net/palworld/images/5/59/Cattiva.png
Chikipi,https://static.wikia.nocookie.net/palworld/images/e/e9/Chikipi.png
Lifmunk,https://static.wikia.nocookie.net/palworld/images/c/c4/Lifmunk.png
Fuack,https://static.wikia.nocookie.net/palworld/images/6/6c/Fuack.png
Fuack Ignis,https://static.wikia.nocookie.net/palworld/images/e/e2/Fuack_Ignis.png
Vixy,https://static.wikia.nocookie.net/palworld/images/7/79/Vixy.png
Celaray,https://static.wikia.nocookie.net/palworld/images/a/aa/Celaray.png
Celaray Lux,https://static.wikia.nocookie.net/palworld/images/9/96/Celaray_Lux.png
Cremis,https://static.wikia.nocookie.net/palworld/images/9/96/Cremis.png
Croajiro,https://static.wikia.nocookie.net/palworld/images/1/17/Croajiro.png
Croajiro Noct,https://static.wikia.nocookie.net/palworld/images/f/fb/Croajiro_Noct.png
Herbil,https://static.wikia.nocookie.net/palworld/images/9/9d/Herbil.png
Teafant,https://static.wikia.nocookie.net/palworld/images/2/2b/Teafant.png
Gumoss,https://static.wikia.nocookie.net/palworld/images/f/f3/Gumoss.png
Gumoss (Special),https://static.wikia.nocookie.net/palworld/images/f/f3/Gumoss.png
Pupperai,https://static.wikia.nocookie.net/palworld/images/3/38/Pupperai.png
Clovee,https://static.wikia.nocookie.net/palworld/images/a/a4/Clovee.png
Jolthog,https://static.wikia.nocookie.net/palworld/images/5/50/Jolthog.png
Jolthog Cryst,https://static.wikia.nocookie.net/palworld/images/d/dc/Jolthog_Cryst.png
Depresso,https://static.wikia.nocookie.net/palworld/images/8/8b/Depresso.png
Pengullet,https://static.wikia.nocookie.net/palworld/images/b/b3/Pengullet.png
Pengullet Lux,https://static.wikia.nocookie.net/palworld/images/b/b4/Pengullet_Lux.png
Penking,https://static.wikia.nocookie.net/palworld/images/5/5c/Penking.png
Penking Lux,https://static.wikia.nocookie.net/palworld/images/3/32/Penking_Lux.png
Hoocrates,https://static.wikia.nocookie.net/palworld/images/c/c5/Hoocrates.png
Melpaca,https://static.wikia.nocookie.net/palworld/images/a/a0/Melpaca.png
Kingpaca,https://static.wikia.nocookie.net/palworld/images/0/0d/Kingpaca.png
Kingpaca Cryst,https://static.wikia.nocookie.net/palworld/images/9/9f/Kingpaca_Cryst.png
Daedream,https://static.wikia.nocookie.net/palworld/images/d/d7/Daedream.png
Tanzee,https://static.wikia.nocookie.net/palworld/images/3/34/Tanzee.png
Tanzee Ignis,https://static.wikia.nocookie.net/palworld/images/d/dc/Tanzee_Ignis.png
Nox,https://static.wikia.nocookie.net/palworld/images/2/2e/Nox.png
